areaCode,areaName,areaType,date,newAdmissions
N92000002,Northern Ireland,nation,2021-07-20,39
N92000002,Northern Ireland,nation,2021-07-19,33
N92000002,Northern Ireland,nation,2021-07-18,25
N92000002,Northern Ireland,nation,2021-07-17,21
N92000002,Northern Ireland,nation,2021-07-16,21
N92000002,Northern Ireland,nation,2021-07-15,29
N92000002,Northern Ireland,nation,2021-07-14,30
N92000002,Northern Ireland,nation,2021-07-13,17
N92000002,Northern Ireland,nation,2021-07-12,18
N92000002,Northern Ireland,nation,2021-07-11,14
N92000002,Northern Ireland,nation,2021-07-10,18
N92000002,Northern Ireland,nation,2021-07-09,10
N92000002,Northern Ireland,nation,2021-07-08,15
N92000002,Northern Ireland,nation,2021-07-07,12
N92000002,Northern Ireland,nation,2021-07-06,8
N92000002,Northern Ireland,nation,2021-07-05,12
N92000002,Northern Ireland,nation,2021-07-04,6
N92000002,Northern Ireland,nation,2021-07-03,5
N92000002,Northern Ireland,nation,2021-07-02,13
N92000002,Northern Ireland,nation,2021-07-01,7
N92000002,Northern Ireland,nation,2021-06-30,10
N92000002,Northern Ireland,nation,2021-06-29,10
N92000002,Northern Ireland,nation,2021-06-28,6
N92000002,Northern Ireland,nation,2021-06-27,5
N92000002,Northern Ireland,nation,2021-06-26,6
N92000002,Northern Ireland,nation,2021-06-25,4
N92000002,Northern Ireland,nation,2021-06-24,3
N92000002,Northern Ireland,nation,2021-06-23,4
N92000002,Northern Ireland,nation,2021-06-22,4
N92000002,Northern Ireland,nation,2021-06-21,4
N92000002,Northern Ireland,nation,2021-06-20,0
N92000002,Northern Ireland,nation,2021-06-19,0
N92000002,Northern Ireland,nation,2021-06-18,1
N92000002,Northern Ireland,nation,2021-06-17,3
N92000002,Northern Ireland,nation,2021-06-16,1
N92000002,Northern Ireland,nation,2021-06-15,3
N92000002,Northern Ireland,nation,2021-06-14,0
N92000002,Northern Ireland,nation,2021-06-13,1
N92000002,Northern Ireland,nation,2021-06-12,0
N92000002,Northern Ireland,nation,2021-06-11,2
N92000002,Northern Ireland,nation,2021-06-10,1
N92000002,Northern Ireland,nation,2021-06-09,0
N92000002,Northern Ireland,nation,2021-06-08,3
N92000002,Northern Ireland,nation,2021-06-07,4
N92000002,Northern Ireland,nation,2021-06-06,0
N92000002,Northern Ireland,nation,2021-06-05,1
N92000002,Northern Ireland,nation,2021-06-04,1
N92000002,Northern Ireland,nation,2021-06-03,1
N92000002,Northern Ireland,nation,2021-06-02,1
N92000002,Northern Ireland,nation,2021-06-01,2
N92000002,Northern Ireland,nation,2021-05-31,0
N92000002,Northern Ireland,nation,2021-05-30,0
N92000002,Northern Ireland,nation,2021-05-29,2
N92000002,Northern Ireland,nation,2021-05-28,3
N92000002,Northern Ireland,nation,2021-05-27,0
N92000002,Northern Ireland,nation,2021-05-26,1
N92000002,Northern Ireland,nation,2021-05-25,1
N92000002,Northern Ireland,nation,2021-05-24,2
N92000002,Northern Ireland,nation,2021-05-23,1
N92000002,Northern Ireland,nation,2021-05-22,3
N92000002,Northern Ireland,nation,2021-05-21,2
N92000002,Northern Ireland,nation,2021-05-20,0
N92000002,Northern Ireland,nation,2021-05-19,2
N92000002,Northern Ireland,nation,2021-05-18,3
N92000002,Northern Ireland,nation,2021-05-17,5
N92000002,Northern Ireland,nation,2021-05-16,1
N92000002,Northern Ireland,nation,2021-05-15,1
N92000002,Northern Ireland,nation,2021-05-14,3
N92000002,Northern Ireland,nation,2021-05-13,1
N92000002,Northern Ireland,nation,2021-05-12,2
N92000002,Northern Ireland,nation,2021-05-11,3
N92000002,Northern Ireland,nation,2021-05-10,2
N92000002,Northern Ireland,nation,2021-05-09,5
N92000002,Northern Ireland,nation,2021-05-08,3
N92000002,Northern Ireland,nation,2021-05-07,3
N92000002,Northern Ireland,nation,2021-05-06,1
N92000002,Northern Ireland,nation,2021-05-05,4
N92000002,Northern Ireland,nation,2021-05-04,2
N92000002,Northern Ireland,nation,2021-05-03,6
N92000002,Northern Ireland,nation,2021-05-02,0
N92000002,Northern Ireland,nation,2021-05-01,5
N92000002,Northern Ireland,nation,2021-04-30,7
N92000002,Northern Ireland,nation,2021-04-29,3
N92000002,Northern Ireland,nation,2021-04-28,4
N92000002,Northern Ireland,nation,2021-04-27,9
N92000002,Northern Ireland,nation,2021-04-26,4
N92000002,Northern Ireland,nation,2021-04-25,5
N92000002,Northern Ireland,nation,2021-04-24,6
N92000002,Northern Ireland,nation,2021-04-23,9
N92000002,Northern Ireland,nation,2021-04-22,4
N92000002,Northern Ireland,nation,2021-04-21,10
N92000002,Northern Ireland,nation,2021-04-20,4
N92000002,Northern Ireland,nation,2021-04-19,5
N92000002,Northern Ireland,nation,2021-04-18,2
N92000002,Northern Ireland,nation,2021-04-17,3
N92000002,Northern Ireland,nation,2021-04-16,6
N92000002,Northern Ireland,nation,2021-04-15,4
N92000002,Northern Ireland,nation,2021-04-14,5
N92000002,Northern Ireland,nation,2021-04-13,6
N92000002,Northern Ireland,nation,2021-04-12,3
N92000002,Northern Ireland,nation,2021-04-11,2
N92000002,Northern Ireland,nation,2021-04-10,8
N92000002,Northern Ireland,nation,2021-04-09,2
N92000002,Northern Ireland,nation,2021-04-08,4
N92000002,Northern Ireland,nation,2021-04-07,6
N92000002,Northern Ireland,nation,2021-04-06,5
N92000002,Northern Ireland,nation,2021-04-05,2
N92000002,Northern Ireland,nation,2021-04-04,5
N92000002,Northern Ireland,nation,2021-04-03,5
N92000002,Northern Ireland,nation,2021-04-02,9
N92000002,Northern Ireland,nation,2021-04-01,10
N92000002,Northern Ireland,nation,2021-03-31,6
N92000002,Northern Ireland,nation,2021-03-30,3
N92000002,Northern Ireland,nation,2021-03-29,12
N92000002,Northern Ireland,nation,2021-03-28,8
N92000002,Northern Ireland,nation,2021-03-27,7
N92000002,Northern Ireland,nation,2021-03-26,12
N92000002,Northern Ireland,nation,2021-03-25,4
N92000002,Northern Ireland,nation,2021-03-24,10
N92000002,Northern Ireland,nation,2021-03-23,8
N92000002,Northern Ireland,nation,2021-03-22,5
N92000002,Northern Ireland,nation,2021-03-21,7
N92000002,Northern Ireland,nation,2021-03-20,7
N92000002,Northern Ireland,nation,2021-03-19,18
N92000002,Northern Ireland,nation,2021-03-18,9
N92000002,Northern Ireland,nation,2021-03-17,12
N92000002,Northern Ireland,nation,2021-03-16,13
N92000002,Northern Ireland,nation,2021-03-15,9
N92000002,Northern Ireland,nation,2021-03-14,5
N92000002,Northern Ireland,nation,2021-03-13,13
N92000002,Northern Ireland,nation,2021-03-12,17
N92000002,Northern Ireland,nation,2021-03-11,19
N92000002,Northern Ireland,nation,2021-03-10,9
N92000002,Northern Ireland,nation,2021-03-09,11
N92000002,Northern Ireland,nation,2021-03-08,16
N92000002,Northern Ireland,nation,2021-03-07,12
N92000002,Northern Ireland,nation,2021-03-06,13
N92000002,Northern Ireland,nation,2021-03-05,13
N92000002,Northern Ireland,nation,2021-03-04,14
N92000002,Northern Ireland,nation,2021-03-03,14
N92000002,Northern Ireland,nation,2021-03-02,15
N92000002,Northern Ireland,nation,2021-03-01,23
N92000002,Northern Ireland,nation,2021-02-28,8
N92000002,Northern Ireland,nation,2021-02-27,13
N92000002,Northern Ireland,nation,2021-02-26,18
N92000002,Northern Ireland,nation,2021-02-25,19
N92000002,Northern Ireland,nation,2021-02-24,21
N92000002,Northern Ireland,nation,2021-02-23,26
N92000002,Northern Ireland,nation,2021-02-22,23
N92000002,Northern Ireland,nation,2021-02-21,14
N92000002,Northern Ireland,nation,2021-02-20,22
N92000002,Northern Ireland,nation,2021-02-19,25
N92000002,Northern Ireland,nation,2021-02-18,34
N92000002,Northern Ireland,nation,2021-02-17,19
N92000002,Northern Ireland,nation,2021-02-16,23
N92000002,Northern Ireland,nation,2021-02-15,31
N92000002,Northern Ireland,nation,2021-02-14,17
N92000002,Northern Ireland,nation,2021-02-13,18
N92000002,Northern Ireland,nation,2021-02-12,22
N92000002,Northern Ireland,nation,2021-02-11,39
N92000002,Northern Ireland,nation,2021-02-10,25
N92000002,Northern Ireland,nation,2021-02-09,40
N92000002,Northern Ireland,nation,2021-02-08,34
N92000002,Northern Ireland,nation,2021-02-07,24
N92000002,Northern Ireland,nation,2021-02-06,35
N92000002,Northern Ireland,nation,2021-02-05,42
N92000002,Northern Ireland,nation,2021-02-04,31
N92000002,Northern Ireland,nation,2021-02-03,45
N92000002,Northern Ireland,nation,2021-02-02,50
N92000002,Northern Ireland,nation,2021-02-01,52
N92000002,Northern Ireland,nation,2021-01-31,41
N92000002,Northern Ireland,nation,2021-01-30,57
N92000002,Northern Ireland,nation,2021-01-29,59
N92000002,Northern Ireland,nation,2021-01-28,54
N92000002,Northern Ireland,nation,2021-01-27,50
N92000002,Northern Ireland,nation,2021-01-26,72
N92000002,Northern Ireland,nation,2021-01-25,61
N92000002,Northern Ireland,nation,2021-01-24,59
N92000002,Northern Ireland,nation,2021-01-23,55
N92000002,Northern Ireland,nation,2021-01-22,74
N92000002,Northern Ireland,nation,2021-01-21,89
N92000002,Northern Ireland,nation,2021-01-20,78
N92000002,Northern Ireland,nation,2021-01-19,70
N92000002,Northern Ireland,nation,2021-01-18,77
N92000002,Northern Ireland,nation,2021-01-17,73
N92000002,Northern Ireland,nation,2021-01-16,92
N92000002,Northern Ireland,nation,2021-01-15,83
N92000002,Northern Ireland,nation,2021-01-14,99
N92000002,Northern Ireland,nation,2021-01-13,75
N92000002,Northern Ireland,nation,2021-01-12,91
N92000002,Northern Ireland,nation,2021-01-11,90
N92000002,Northern Ireland,nation,2021-01-10,103
N92000002,Northern Ireland,nation,2021-01-09,88
N92000002,Northern Ireland,nation,2021-01-08,110
N92000002,Northern Ireland,nation,2021-01-07,83
N92000002,Northern Ireland,nation,2021-01-06,80
N92000002,Northern Ireland,nation,2021-01-05,80
N92000002,Northern Ireland,nation,2021-01-04,76
N92000002,Northern Ireland,nation,2021-01-03,75
N92000002,Northern Ireland,nation,2021-01-02,58
N92000002,Northern Ireland,nation,2021-01-01,70
N92000002,Northern Ireland,nation,2020-12-31,71
N92000002,Northern Ireland,nation,2020-12-30,77
N92000002,Northern Ireland,nation,2020-12-29,74
N92000002,Northern Ireland,nation,2020-12-28,59
N92000002,Northern Ireland,nation,2020-12-27,60
N92000002,Northern Ireland,nation,2020-12-26,50
N92000002,Northern Ireland,nation,2020-12-25,45
N92000002,Northern Ireland,nation,2020-12-24,46
N92000002,Northern Ireland,nation,2020-12-23,51
N92000002,Northern Ireland,nation,2020-12-22,50
N92000002,Northern Ireland,nation,2020-12-21,57
N92000002,Northern Ireland,nation,2020-12-20,34
N92000002,Northern Ireland,nation,2020-12-19,32
N92000002,Northern Ireland,nation,2020-12-18,42
N92000002,Northern Ireland,nation,2020-12-17,45
N92000002,Northern Ireland,nation,2020-12-16,43
N92000002,Northern Ireland,nation,2020-12-15,56
N92000002,Northern Ireland,nation,2020-12-14,50
N92000002,Northern Ireland,nation,2020-12-13,39
N92000002,Northern Ireland,nation,2020-12-12,41
N92000002,Northern Ireland,nation,2020-12-11,30
N92000002,Northern Ireland,nation,2020-12-10,31
N92000002,Northern Ireland,nation,2020-12-09,34
N92000002,Northern Ireland,nation,2020-12-08,53
N92000002,Northern Ireland,nation,2020-12-07,42
N92000002,Northern Ireland,nation,2020-12-06,32
N92000002,Northern Ireland,nation,2020-12-05,33
N92000002,Northern Ireland,nation,2020-12-04,40
N92000002,Northern Ireland,nation,2020-12-03,40
N92000002,Northern Ireland,nation,2020-12-02,38
N92000002,Northern Ireland,nation,2020-12-01,36
N92000002,Northern Ireland,nation,2020-11-30,40
N92000002,Northern Ireland,nation,2020-11-29,32
N92000002,Northern Ireland,nation,2020-11-28,27
N92000002,Northern Ireland,nation,2020-11-27,47
N92000002,Northern Ireland,nation,2020-11-26,31
N92000002,Northern Ireland,nation,2020-11-25,43
N92000002,Northern Ireland,nation,2020-11-24,39
N92000002,Northern Ireland,nation,2020-11-23,25
N92000002,Northern Ireland,nation,2020-11-22,29
N92000002,Northern Ireland,nation,2020-11-21,35
N92000002,Northern Ireland,nation,2020-11-20,50
N92000002,Northern Ireland,nation,2020-11-19,39
N92000002,Northern Ireland,nation,2020-11-18,39
N92000002,Northern Ireland,nation,2020-11-17,45
N92000002,Northern Ireland,nation,2020-11-16,45
N92000002,Northern Ireland,nation,2020-11-15,44
N92000002,Northern Ireland,nation,2020-11-14,39
N92000002,Northern Ireland,nation,2020-11-13,35
N92000002,Northern Ireland,nation,2020-11-12,38
N92000002,Northern Ireland,nation,2020-11-11,51
N92000002,Northern Ireland,nation,2020-11-10,53
N92000002,Northern Ireland,nation,2020-11-09,50
N92000002,Northern Ireland,nation,2020-11-08,48
N92000002,Northern Ireland,nation,2020-11-07,41
N92000002,Northern Ireland,nation,2020-11-06,55
N92000002,Northern Ireland,nation,2020-11-05,42
N92000002,Northern Ireland,nation,2020-11-04,53
N92000002,Northern Ireland,nation,2020-11-03,59
N92000002,Northern Ireland,nation,2020-11-02,55
N92000002,Northern Ireland,nation,2020-11-01,37
N92000002,Northern Ireland,nation,2020-10-31,37
N92000002,Northern Ireland,nation,2020-10-30,48
N92000002,Northern Ireland,nation,2020-10-29,58
N92000002,Northern Ireland,nation,2020-10-28,41
N92000002,Northern Ireland,nation,2020-10-27,58
N92000002,Northern Ireland,nation,2020-10-26,47
N92000002,Northern Ireland,nation,2020-10-25,47
N92000002,Northern Ireland,nation,2020-10-24,55
N92000002,Northern Ireland,nation,2020-10-23,48
N92000002,Northern Ireland,nation,2020-10-22,54
N92000002,Northern Ireland,nation,2020-10-21,43
N92000002,Northern Ireland,nation,2020-10-20,54
N92000002,Northern Ireland,nation,2020-10-19,47
N92000002,Northern Ireland,nation,2020-10-18,45
N92000002,Northern Ireland,nation,2020-10-17,47
N92000002,Northern Ireland,nation,2020-10-16,48
N92000002,Northern Ireland,nation,2020-10-15,46
N92000002,Northern Ireland,nation,2020-10-14,37
N92000002,Northern Ireland,nation,2020-10-13,44
N92000002,Northern Ireland,nation,2020-10-12,32
N92000002,Northern Ireland,nation,2020-10-11,37
N92000002,Northern Ireland,nation,2020-10-10,31
N92000002,Northern Ireland,nation,2020-10-09,23
N92000002,Northern Ireland,nation,2020-10-08,30
N92000002,Northern Ireland,nation,2020-10-07,30
N92000002,Northern Ireland,nation,2020-10-06,27
N92000002,Northern Ireland,nation,2020-10-05,26
N92000002,Northern Ireland,nation,2020-10-04,17
N92000002,Northern Ireland,nation,2020-10-03,22
N92000002,Northern Ireland,nation,2020-10-02,10
N92000002,Northern Ireland,nation,2020-10-01,18
N92000002,Northern Ireland,nation,2020-09-30,16
N92000002,Northern Ireland,nation,2020-09-29,9
N92000002,Northern Ireland,nation,2020-09-28,21
N92000002,Northern Ireland,nation,2020-09-27,12
N92000002,Northern Ireland,nation,2020-09-26,11
N92000002,Northern Ireland,nation,2020-09-25,6
N92000002,Northern Ireland,nation,2020-09-24,8
N92000002,Northern Ireland,nation,2020-09-23,13
N92000002,Northern Ireland,nation,2020-09-22,8
N92000002,Northern Ireland,nation,2020-09-21,11
N92000002,Northern Ireland,nation,2020-09-20,6
N92000002,Northern Ireland,nation,2020-09-19,4
N92000002,Northern Ireland,nation,2020-09-18,3
N92000002,Northern Ireland,nation,2020-09-17,4
N92000002,Northern Ireland,nation,2020-09-16,3
N92000002,Northern Ireland,nation,2020-09-15,4
N92000002,Northern Ireland,nation,2020-09-14,8
N92000002,Northern Ireland,nation,2020-09-13,6
N92000002,Northern Ireland,nation,2020-09-12,4
N92000002,Northern Ireland,nation,2020-09-11,7
N92000002,Northern Ireland,nation,2020-09-10,7
N92000002,Northern Ireland,nation,2020-09-09,3
N92000002,Northern Ireland,nation,2020-09-08,9
N92000002,Northern Ireland,nation,2020-09-07,1
N92000002,Northern Ireland,nation,2020-09-06,4
N92000002,Northern Ireland,nation,2020-09-05,1
N92000002,Northern Ireland,nation,2020-09-04,2
N92000002,Northern Ireland,nation,2020-09-03,3
N92000002,Northern Ireland,nation,2020-09-02,0
N92000002,Northern Ireland,nation,2020-09-01,4
N92000002,Northern Ireland,nation,2020-08-31,5
N92000002,Northern Ireland,nation,2020-08-30,3
N92000002,Northern Ireland,nation,2020-08-29,2
N92000002,Northern Ireland,nation,2020-08-28,5
N92000002,Northern Ireland,nation,2020-08-27,4
N92000002,Northern Ireland,nation,2020-08-26,0
N92000002,Northern Ireland,nation,2020-08-25,2
N92000002,Northern Ireland,nation,2020-08-24,6
N92000002,Northern Ireland,nation,2020-08-23,3
N92000002,Northern Ireland,nation,2020-08-22,3
N92000002,Northern Ireland,nation,2020-08-21,2
N92000002,Northern Ireland,nation,2020-08-20,6
N92000002,Northern Ireland,nation,2020-08-19,6
N92000002,Northern Ireland,nation,2020-08-18,6
N92000002,Northern Ireland,nation,2020-08-17,6
N92000002,Northern Ireland,nation,2020-08-16,2
N92000002,Northern Ireland,nation,2020-08-15,2
N92000002,Northern Ireland,nation,2020-08-14,2
N92000002,Northern Ireland,nation,2020-08-13,4
N92000002,Northern Ireland,nation,2020-08-12,3
N92000002,Northern Ireland,nation,2020-08-11,2
N92000002,Northern Ireland,nation,2020-08-10,0
N92000002,Northern Ireland,nation,2020-08-09,2
N92000002,Northern Ireland,nation,2020-08-08,5
N92000002,Northern Ireland,nation,2020-08-07,0
N92000002,Northern Ireland,nation,2020-08-06,3
N92000002,Northern Ireland,nation,2020-08-05,1
N92000002,Northern Ireland,nation,2020-08-04,1
N92000002,Northern Ireland,nation,2020-08-03,3
N92000002,Northern Ireland,nation,2020-08-02,1
N92000002,Northern Ireland,nation,2020-08-01,3
N92000002,Northern Ireland,nation,2020-07-31,2
N92000002,Northern Ireland,nation,2020-07-30,1
N92000002,Northern Ireland,nation,2020-07-29,2
N92000002,Northern Ireland,nation,2020-07-28,1
N92000002,Northern Ireland,nation,2020-07-27,2
N92000002,Northern Ireland,nation,2020-07-26,0
N92000002,Northern Ireland,nation,2020-07-25,2
N92000002,Northern Ireland,nation,2020-07-24,3
N92000002,Northern Ireland,nation,2020-07-23,0
N92000002,Northern Ireland,nation,2020-07-22,2
N92000002,Northern Ireland,nation,2020-07-21,0
N92000002,Northern Ireland,nation,2020-07-20,1
N92000002,Northern Ireland,nation,2020-07-19,1
N92000002,Northern Ireland,nation,2020-07-18,2
N92000002,Northern Ireland,nation,2020-07-17,0
N92000002,Northern Ireland,nation,2020-07-16,2
N92000002,Northern Ireland,nation,2020-07-15,1
N92000002,Northern Ireland,nation,2020-07-14,0
N92000002,Northern Ireland,nation,2020-07-13,1
N92000002,Northern Ireland,nation,2020-07-12,0
N92000002,Northern Ireland,nation,2020-07-11,1
N92000002,Northern Ireland,nation,2020-07-10,0
N92000002,Northern Ireland,nation,2020-07-09,3
N92000002,Northern Ireland,nation,2020-07-08,3
N92000002,Northern Ireland,nation,2020-07-07,1
N92000002,Northern Ireland,nation,2020-07-06,1
N92000002,Northern Ireland,nation,2020-07-05,0
N92000002,Northern Ireland,nation,2020-07-04,3
N92000002,Northern Ireland,nation,2020-07-03,1
N92000002,Northern Ireland,nation,2020-07-02,2
N92000002,Northern Ireland,nation,2020-07-01,0
N92000002,Northern Ireland,nation,2020-06-30,2
N92000002,Northern Ireland,nation,2020-06-29,0
N92000002,Northern Ireland,nation,2020-06-28,3
N92000002,Northern Ireland,nation,2020-06-27,0
N92000002,Northern Ireland,nation,2020-06-26,2
N92000002,Northern Ireland,nation,2020-06-25,2
N92000002,Northern Ireland,nation,2020-06-24,1
N92000002,Northern Ireland,nation,2020-06-23,3
N92000002,Northern Ireland,nation,2020-06-22,2
N92000002,Northern Ireland,nation,2020-06-21,4
N92000002,Northern Ireland,nation,2020-06-20,3
N92000002,Northern Ireland,nation,2020-06-19,1
N92000002,Northern Ireland,nation,2020-06-18,1
N92000002,Northern Ireland,nation,2020-06-17,1
N92000002,Northern Ireland,nation,2020-06-16,1
N92000002,Northern Ireland,nation,2020-06-15,0
N92000002,Northern Ireland,nation,2020-06-14,0
N92000002,Northern Ireland,nation,2020-06-13,2
N92000002,Northern Ireland,nation,2020-06-12,2
N92000002,Northern Ireland,nation,2020-06-11,5
N92000002,Northern Ireland,nation,2020-06-10,5
N92000002,Northern Ireland,nation,2020-06-09,5
N92000002,Northern Ireland,nation,2020-06-08,2
N92000002,Northern Ireland,nation,2020-06-07,1
N92000002,Northern Ireland,nation,2020-06-06,3
N92000002,Northern Ireland,nation,2020-06-05,3
N92000002,Northern Ireland,nation,2020-06-04,3
N92000002,Northern Ireland,nation,2020-06-03,3
N92000002,Northern Ireland,nation,2020-06-02,4
N92000002,Northern Ireland,nation,2020-06-01,3
N92000002,Northern Ireland,nation,2020-05-31,4
N92000002,Northern Ireland,nation,2020-05-30,5
N92000002,Northern Ireland,nation,2020-05-29,6
N92000002,Northern Ireland,nation,2020-05-28,6
N92000002,Northern Ireland,nation,2020-05-27,6
N92000002,Northern Ireland,nation,2020-05-26,10
N92000002,Northern Ireland,nation,2020-05-25,9
N92000002,Northern Ireland,nation,2020-05-24,4
N92000002,Northern Ireland,nation,2020-05-23,4
N92000002,Northern Ireland,nation,2020-05-22,5
N92000002,Northern Ireland,nation,2020-05-21,8
N92000002,Northern Ireland,nation,2020-05-20,5
N92000002,Northern Ireland,nation,2020-05-19,10
N92000002,Northern Ireland,nation,2020-05-18,11
N92000002,Northern Ireland,nation,2020-05-17,12
N92000002,Northern Ireland,nation,2020-05-16,7
