,Date,Infections
0,0,0.00023999760002399976
1,1,0.0003099969000309997
2,2,0.00033999660003399966
3,3,0.00034999650003499967
4,4,0.0003599964000359996
5,5,0.0003699963000369996
6,6,0.0003899961000389996
7,7,0.0003999960000399996
8,8,0.0004099959000409996
9,9,0.0004199958000419996
10,10,0.00042999570004299955
11,11,0.00043999560004399956
12,12,0.00044999550004499957
13,13,0.0004699953000469995
14,14,0.00047999520004799953
15,15,0.0004899951000489995
16,16,0.0004999950000499995
17,17,0.0005199948000519994
18,18,0.0005299947000529995
19,19,0.0005499945000549994
20,20,0.0005599944000559995
21,21,0.0005799942000579994
22,22,0.0005899941000589994
23,23,0.0006099939000609993
24,24,0.0006299937000629993
25,25,0.0006499935000649994
26,26,0.0006599934000659993
27,27,0.0006799932000679993
28,28,0.0006999930000699993
29,29,0.0007199928000719992
30,30,0.0007399926000739993
31,31,0.0007599924000759993
32,32,0.0007799922000779992
33,33,0.0007999920000799992
34,34,0.0008199918000819992
35,35,0.0008399916000839992
36,36,0.0008699913000869992
37,37,0.0008899911000889991
38,38,0.000919990800091999
39,39,0.000939990600093999
40,40,0.000969990300096999
41,41,0.000999990000099999
42,42,0.001019989800101999
43,43,0.001049989500104999
44,44,0.001079989200107999
45,45,0.0011099889001109989
46,46,0.0011399886001139988
47,47,0.0011699883001169988
48,48,0.0011999880001199988
49,49,0.0012399876001239988
50,50,0.0012699873001269988
51,51,0.0012999870001299987
52,52,0.0013399866001339987
53,53,0.0013699863001369987
54,54,0.0014099859001409985
55,55,0.0014499855001449985
56,56,0.0014899851001489986
57,57,0.0015299847001529984
58,58,0.0015699843001569984
59,59,0.0016099839001609984
60,60,0.0016599834001659983
61,61,0.0016999830001699983
62,62,0.0017499825001749982
63,63,0.0017999820001799983
64,64,0.0018499815001849981
65,65,0.001899981000189998
66,66,0.001949980500194998
67,67,0.001999980000199998
68,68,0.002059979400205998
69,69,0.002109978900210998
70,70,0.002169978300216998
71,71,0.002229977700222998
72,72,0.0022899771002289977
73,73,0.0023599764002359977
74,74,0.0024199758002419977
75,75,0.0024899751002489976
76,76,0.0025599744002559976
77,77,0.002629973700262997
78,78,0.002699973000269997
79,79,0.002769972300276997
80,80,0.002849971500284997
81,81,0.0029299707002929973
82,82,0.003009969900300997
83,83,0.003089969100308997
84,84,0.003169968300316997
85,85,0.0032599674003259966
86,86,0.0033499665003349968
87,87,0.0034399656003439964
