,Date,Rate,Upper,Lower
0,0,0.0,0.003770116425552582,-0.003770116425552582
1,7,0.0,0.0049970141383127,-0.0049970141383127
2,14,0.0,0.004919536358400066,-0.004919536358400066
3,21,0.0037512962633587813,0.009887036114995642,-0.00238444358827808
4,28,0.01274002387148415,0.020628832252160115,0.004851215490808186
5,35,0.00631364561552474,0.01359468605384819,-0.0009673948227987106
6,42,0.01000679277473955,0.017154713386519544,0.002858872162959557
7,49,0.02087518238047501,0.029190716549661908,0.012559648211288112
8,56,0.009931212753097943,0.020283969304100095,-0.0004215437979042069
9,63,0.03273780181027065,0.04277019501981267,0.02270540860072863
10,70,0.04478898066389626,0.05502981223431511,0.034548149093477414
11,77,0.029496950178338772,0.04145128374149028,0.017542616615187266
12,84,0.023891615945147576,0.039073634752376386,0.008709597137918761
13,91,0.03141919067915467,0.04644862251012514,0.0163897588481842
14,98,0.04279992247023546,0.05838153638321247,0.027218308557258444
15,105,0.08994817987119244,0.10963608386995172,0.07026027587243316
16,112,0.054608505268245684,0.07692142487407466,0.03229558566241671
17,119,0.05827715169758766,0.08009387648168843,0.03646042691348688
18,126,0.08105329649984289,0.10378411331533961,0.058322479684346146
19,133,0.17339271877004214,0.2020246806676764,0.14476075687240791
20,140,0.1683757383766088,0.20328888046844998,0.13346259628476762
21,147,0.20425996205818098,0.24418799804192837,0.1643319260744336
22,154,0.3063758902472271,0.3439596925372836,0.26879208795717063
23,161,0.2431707155019251,0.2900304701068521,0.196310960896998
24,168,0.39102801378488583,0.4349247937434101,0.34713123382636163
25,175,0.4241266715117923,0.4620158726657406,0.386237470357844
26,182,0.4492200338480453,0.49873840174635553,0.399701665949735
27,189,0.5780060043153712,0.6380342040730879,0.5179778045576544
28,196,0.6498193467319803,0.7119698911632101,0.5876688023007505
29,203,0.7943656561119989,0.8604641280301916,0.7282671841938062
30,210,0.9053074844639566,0.9789233178633736,0.8316916510645397
31,217,1.1832952194291193,1.2580194441685058,1.1085709946897326
32,224,1.2180768185986268,1.3009035092085577,1.1352501279886957
33,231,1.4118329368473228,1.4944111177938675,1.329254755900778
34,238,1.549012071241832,1.638302478969823,1.459721663513841
35,245,1.5011529518554816,1.5899450508262323,1.4123608528847307
36,252,1.5382884299504607,1.6366381524377196,1.4399387074632017
37,259,1.5833572827964923,1.6657981146402605,1.5009164509527242
38,266,1.3687308805985487,1.4290622953109853,1.3083994658861122
39,273,1.0967328885668042,1.154544293829211,1.0389214833043976
40,280,0.9784784724613619,1.0345937825889884,0.9223631623337356
41,287,0.8807373201407066,0.9336824567268476,0.8277921835545656
42,294,0.6194981633433088,0.6675519110470345,0.571444415639583
43,301,0.5129961938991305,0.5536677615875762,0.4723246262106849
44,308,0.4259338372436898,0.4659483704581522,0.38591930402922736
45,315,0.3775803565063902,0.41670168234305704,0.33845903066972344
46,322,0.31124200348793657,0.3416566057296182,0.28082740124625494
47,329,0.21490657220412632,0.24191606210813138,0.18789708230012128
48,336,0.1749841447590934,0.20330583360032273,0.14666245591786414
49,343,0.22554282053831304,0.25070408738055505,0.20038155369607097
50,350,0.21863546340016757,0.23798881593861565,0.19928211086171949
51,357,0.13817255225620173,0.16090336907169847,0.115441735440705
52,364,0.14308825074646578,0.1649489520411953,0.12122754945173624
53,371,0.11300433993276404,0.13415044521062347,0.09185823465490457
54,378,0.07859700345416851,0.09842102297803144,0.058772983930305576
55,385,0.05564101645468503,0.07367931643548527,0.03760271647388478
56,392,0.031305544334811315,0.046064153410011514,0.016546935259611116
57,399,0.053074348396962526,0.06996896368467306,0.036179733109251974
58,406,0.058298467461076746,0.07899470182046768,0.03760223310168583
59,413,0.12527930650235497,0.15104404678401864,0.09951456622069131
60,420,0.12350169208436959,0.15261266055872896,0.09439072361001022
61,427,0.2939333759052507,0.3338373516060156,0.2540294002044859
62,434,0.4194452953253216,0.4699354950416757,0.3689550956089675
63,441,0.4832545529533293,0.5434457211612376,0.4230633847454211
64,448,0.7197316164113876,0.7883032678373684,0.6511599649854068
65,455,0.7288525056981882,0.779018300757472,0.6786867106389044
66,462,0.5973466802590527,0.6432707187337654,0.5514226417843398
67,469,0.46033230063214725,0.5027469595364353,0.41791764172785917
68,476,0.4184743704609213,0.45638891048024033,0.3805598304416022
69,483,0.262833884358133,0.2966855877218013,0.22898218099446463
70,490,0.22285028162582793,0.2562909541252594,0.18940960912639654
71,497,0.21991485368319258,0.2410427843936393,0.19878692297274583
72,504,0.17474655817933146,0.2126408284618267,0.1368522878968363
73,511,0.23986130621209048,0.2890371439514705,0.1906854684727105
74,518,0.4799932882641532,0.5425350983212658,0.4174514782070406
75,525,0.6989455615670417,0.7709948653039849,0.6268962578300984
76,532,1.1784503403655613,1.2674843918816903,1.0894162888494323
77,539,1.4977680955658008,1.6034386546507673,1.3920975364808343
78,546,2.402820278632615,2.53745177577797,2.26818878148726
79,553,2.9749547869082402,3.048275188442787,2.9016343853736934
80,560,1.8339812875370036,1.8839629591609601,1.7839996159130476
81,567,0.9431146813127103,0.9791326677506904,0.90709669487473
82,574,0.42239137145632183,0.4471369754406831,0.3976457674719606
83,581,0.26882997010084464,0.28719540249730424,0.25046453770438504
84,588,0.12917134438052802,0.14362751780887684,0.11471517095217922
85,595,0.05412043371913671,0.06478393328062078,0.04345693415765264
