date,cases
2022-06-01,921
2022-05-31,919
2022-05-30,904
2022-05-29,779
2022-05-28,645
2022-05-27,664
2022-05-26,762
2022-05-25,863
2022-05-24,888
2022-05-23,1040
2022-05-22,808
2022-05-21,624
2022-05-20,724
2022-05-19,988
2022-05-18,1110
2022-05-17,1197
2022-05-16,1330
2022-05-15,1072
2022-05-14,836
2022-05-13,881
2022-05-12,1026
2022-05-11,1257
2022-05-10,1338
2022-05-09,1493
2022-05-08,1239
2022-05-07,939
2022-05-06,1156
2022-05-05,1484
2022-05-04,1637
2022-05-03,1922
2022-05-02,1638
2022-05-01,1212
2022-04-30,964
2022-04-29,1198
2022-04-28,1371
2022-04-27,1624
2022-04-26,1806
2022-04-25,2102
2022-04-24,1750
2022-04-23,1575
2022-04-22,1943
2022-04-21,2297
2022-04-20,2780
2022-04-19,3320
2022-04-18,3224
2022-04-17,2421
2022-04-16,2284
2022-04-15,2467
2022-04-14,3163
2022-04-13,3958
2022-04-12,4267
2022-04-11,4600
2022-04-10,3789
2022-04-09,3346
2022-04-08,3817
2022-04-07,4850
2022-04-06,5844
2022-04-05,6390
2022-04-04,6997
2022-04-03,5334
2022-04-02,4667
2022-04-01,6213
2022-03-31,7411
2022-03-30,10649
2022-03-29,11452
2022-03-28,12923
2022-03-27,9165
2022-03-26,8018
2022-03-25,9558
2022-03-24,11255
2022-03-23,13066
2022-03-22,13731
2022-03-21,14496
2022-03-20,10016
2022-03-19,8021
2022-03-18,9431
2022-03-17,11036
2022-03-16,12480
2022-03-15,12491
2022-03-14,12437
2022-03-13,9055
2022-03-12,7277
2022-03-11,7997
2022-03-10,9101
2022-03-09,9601
2022-03-08,9046
2022-03-07,8387
2022-03-06,5705
2022-03-05,4562
2022-03-04,5052
2022-03-03,5699
2022-03-02,6320
2022-03-01,5993
2022-02-28,5746
2022-02-27,3625
2022-02-26,2977
2022-02-25,3426
2022-02-24,4035
2022-02-23,5065
2022-02-22,5534
2022-02-21,6207
2022-02-20,4957
2022-02-19,4760
2022-02-18,4389
2022-02-17,6353
2022-02-16,7552
2022-02-15,7831
2022-02-14,7761
2022-02-13,5551
2022-02-12,4864
2022-02-11,5886
2022-02-10,7464
2022-02-09,9444
2022-02-08,9782
2022-02-07,10268
2022-02-06,7486
2022-02-05,6539
2022-02-04,8130
2022-02-03,10402
2022-02-02,12262
2022-02-01,12281
2022-01-31,12809
2022-01-30,10216
2022-01-29,8776
2022-01-28,10028
2022-01-27,12113
2022-01-26,14154
2022-01-25,14207
2022-01-24,15465
2022-01-23,12192
2022-01-22,9897
2022-01-21,11351
2022-01-20,13426
2022-01-19,15487
2022-01-18,16030
2022-01-17,17371
2022-01-16,12552
2022-01-15,10447
2022-01-14,12097
2022-01-13,14609
2022-01-12,16490
2022-01-11,18348
2022-01-10,20841
2022-01-09,14913
2022-01-08,15406
2022-01-07,20769
2022-01-06,30535
2022-01-05,37556
2022-01-04,50565
2022-01-03,42183
2022-01-02,32345
2022-01-01,21243
2021-12-31,33876
2021-12-30,44499
2021-12-29,51345
2021-12-28,39244
2021-12-27,35480
2021-12-26,22445
2021-12-25,12993
2021-12-24,26818
2021-12-23,33471
2021-12-22,35119
2021-12-21,33445
2021-12-20,28788
2021-12-19,18409
2021-12-18,19089
2021-12-17,21664
2021-12-16,25502
2021-12-15,28359
2021-12-14,25714
2021-12-13,18387
2021-12-12,9447
2021-12-11,7809
2021-12-10,8578
2021-12-09,9118
2021-12-08,9162
2021-12-07,8238
2021-12-06,7840
2021-12-05,4810
2021-12-04,4627
2021-12-03,5482
2021-12-02,5965
2021-12-01,6295
2021-11-30,6202
2021-11-29,5964
2021-11-28,4015
2021-11-27,3607
2021-11-26,4217
2021-11-25,4694
2021-11-24,4836
2021-11-23,4926
2021-11-22,4828
2021-11-21,3579
2021-11-20,3317
2021-11-19,3923
2021-11-18,4474
2021-11-17,4641
2021-11-16,4583
2021-11-15,4837
2021-11-14,3363
2021-11-13,3185
2021-11-12,3851
2021-11-11,4234
2021-11-10,4387
2021-11-09,4357
2021-11-08,4420
2021-11-07,3002
2021-11-06,2902
2021-11-05,3239
2021-11-04,3802
2021-11-03,3821
2021-11-02,3908
2021-11-01,4317
2021-10-31,3085
2021-10-30,3012
2021-10-29,3611
2021-10-28,3923
2021-10-27,4063
2021-10-26,3943
2021-10-25,4190
2021-10-24,2975
2021-10-23,2747
2021-10-22,3403
2021-10-21,3706
2021-10-20,3952
2021-10-19,3878
2021-10-18,4171
2021-10-17,2952
2021-10-16,2514
2021-10-15,3168
2021-10-14,3397
2021-10-13,3484
2021-10-12,3468
2021-10-11,3449
2021-10-10,2453
2021-10-09,2340
2021-10-08,2664
2021-10-07,2899
2021-10-06,2923
2021-10-05,2782
2021-10-04,3015
2021-10-03,2083
2021-10-02,1804
2021-10-01,2215
2021-09-30,2409
