date,cases
2022-05-27,98
2022-05-26,95
2022-05-25,123
2022-05-24,133
2022-05-23,145
2022-05-22,159
2022-05-21,111
2022-05-20,120
2022-05-19,147
2022-05-18,156
2022-05-17,186
2022-05-16,232
2022-05-15,238
2022-05-14,145
2022-05-13,182
2022-05-12,188
2022-05-11,221
2022-05-10,266
2022-05-09,334
2022-05-08,289
2022-05-07,247
2022-05-06,232
2022-05-05,276
2022-05-04,295
2022-05-03,361
2022-05-02,403
2022-05-01,290
2022-04-30,261
2022-04-29,263
2022-04-28,258
2022-04-27,271
2022-04-26,259
2022-04-25,366
2022-04-24,391
2022-04-23,282
2022-04-22,289
2022-04-21,317
2022-04-20,408
2022-04-19,453
2022-04-18,501
2022-04-17,440
2022-04-16,423
2022-04-15,467
2022-04-14,498
2022-04-13,594
2022-04-12,754
2022-04-11,839
2022-04-10,824
2022-04-09,812
2022-04-08,896
2022-04-07,968
2022-04-06,1201
2022-04-05,1393
2022-04-04,1760
2022-04-03,1584
2022-04-02,1416
2022-04-01,1656
2022-03-31,1938
2022-03-30,2889
2022-03-29,3452
2022-03-28,4681
2022-03-27,3492
2022-03-26,3035
2022-03-25,3391
2022-03-24,3892
2022-03-23,4474
2022-03-22,5447
2022-03-21,6946
2022-03-20,5576
2022-03-19,4407
2022-03-18,4494
2022-03-17,4872
2022-03-16,5259
2022-03-15,6074
2022-03-14,7319
2022-03-13,5635
2022-03-12,4466
2022-03-11,4688
2022-03-10,4460
2022-03-09,4292
2022-03-08,4740
2022-03-07,5045
2022-03-06,3538
2022-03-05,2548
2022-03-04,2394
2022-03-03,1828
2022-03-02,1812
2022-03-01,1916
2022-02-28,2113
2022-02-27,1573
2022-02-26,1189
2022-02-25,1147
2022-02-24,1148
2022-02-23,1348
2022-02-22,1542
2022-02-21,2092
2022-02-20,2024
2022-02-19,2020
2022-02-18,1674
2022-02-17,2311
2022-02-16,2605
2022-02-15,2946
2022-02-14,3478
2022-02-13,2857
2022-02-12,2477
2022-02-11,2915
2022-02-10,3473
2022-02-09,4168
2022-02-08,5114
2022-02-07,6743
2022-02-06,5686
2022-02-05,4848
2022-02-04,5768
2022-02-03,7134
2022-02-02,8021
2022-02-01,9888
2022-01-31,12962
2022-01-30,11371
2022-01-29,10016
2022-01-28,11620
2022-01-27,12989
2022-01-26,14674
2022-01-25,17220
2022-01-24,21557
2022-01-23,18272
2022-01-22,14786
2022-01-21,16243
2022-01-20,16781
2022-01-19,17817
2022-01-18,21224
2022-01-17,24911
2022-01-16,19099
2022-01-15,14263
2022-01-14,14144
2022-01-13,13617
2022-01-12,12379
2022-01-11,14559
2022-01-10,16021
2022-01-09,10578
2022-01-08,8625
2022-01-07,8882
2022-01-06,12010
2022-01-05,13585
2022-01-04,14165
2022-01-03,11946
2022-01-02,8971
2022-01-01,5765
2021-12-31,8119
2021-12-30,9213
2021-12-29,9837
2021-12-28,8445
2021-12-27,8394
2021-12-26,5571
2021-12-25,2958
2021-12-24,6922
2021-12-23,7850
2021-12-22,7726
2021-12-21,7862
2021-12-20,8187
2021-12-19,6220
2021-12-18,6362
2021-12-17,6314
2021-12-16,6726
2021-12-15,7475
2021-12-14,8117
2021-12-13,8922
2021-12-12,6303
2021-12-11,6493
2021-12-10,6658
2021-12-09,7213
2021-12-08,7740
2021-12-07,8108
2021-12-06,9187
2021-12-05,6192
2021-12-04,6013
2021-12-03,6945
2021-12-02,7348
2021-12-01,8320
2021-11-30,9202
2021-11-29,9276
2021-11-28,6199
2021-11-27,5258
2021-11-26,6054
2021-11-25,6624
2021-11-24,7284
2021-11-23,8312
2021-11-22,8518
2021-11-21,5907
2021-11-20,5723
2021-11-19,5939
2021-11-18,6597
2021-11-17,6894
2021-11-16,7508
2021-11-15,8205
2021-11-14,5252
2021-11-13,4932
2021-11-12,5136
2021-11-11,5253
2021-11-10,5540
2021-11-09,5536
2021-11-08,5620
2021-11-07,3612
2021-11-06,3043
2021-11-05,2950
2021-11-04,3250
2021-11-03,3468
2021-11-02,4076
2021-11-01,5184
2021-10-31,3898
2021-10-30,3823
2021-10-29,4300
2021-10-28,4186
2021-10-27,4426
2021-10-26,4381
2021-10-25,5048
2021-10-24,3969
2021-10-23,4038
2021-10-22,4521
2021-10-21,5122
2021-10-20,6252
2021-10-19,7018
2021-10-18,8111
2021-10-17,5873
2021-10-16,5066
2021-10-15,5675
2021-10-14,5958
2021-10-13,6317
2021-10-12,6788
2021-10-11,7065
2021-10-10,4736
2021-10-09,4173
2021-10-08,4569
2021-10-07,4880
2021-10-06,5037
2021-10-05,5161
2021-10-04,5981
2021-10-03,4034
2021-10-02,3366
2021-10-01,3562
2021-09-30,3985
2021-09-29,4367
2021-09-28,4763
2021-09-27,5712
2021-09-26,4241
2021-09-25,3859
2021-09-24,4109
2021-09-23,4600
2021-09-22,4780
2021-09-21,5578
2021-09-20,5912
2021-09-19,4426
2021-09-18,3751
2021-09-17,3851
2021-09-16,3707
2021-09-15,3651
2021-09-14,3811
2021-09-13,4201
2021-09-12,2737
2021-09-11,2470
2021-09-10,2714
2021-09-09,2881
2021-09-08,3015
2021-09-07,3534
2021-09-06,4027
2021-09-05,2795
2021-09-04,2637
2021-09-03,2969
2021-09-02,2853
2021-09-01,2912
2021-08-31,2977
2021-08-30,2303
2021-08-29,1857
2021-08-28,1967
2021-08-27,2112
2021-08-26,2054
2021-08-25,2132
2021-08-24,2323
2021-08-23,2354
2021-08-22,1802
2021-08-21,1812
2021-08-20,1814
2021-08-19,1825
2021-08-18,1773
2021-08-17,1809
2021-08-16,2021
2021-08-15,1574
2021-08-14,1574
2021-08-13,1603
2021-08-12,1637
2021-08-11,1655
2021-08-10,1659
2021-08-09,1770
2021-08-08,1373
2021-08-07,1199
2021-08-06,1449
2021-08-05,1473
2021-08-04,1433
2021-08-03,1508
2021-08-02,1531
2021-08-01,1142
2021-07-31,1147
2021-07-30,1258
2021-07-29,1361
2021-07-28,1459
2021-07-27,1608
2021-07-26,1966
2021-07-25,1692
2021-07-24,1773
2021-07-23,2034
2021-07-22,2352
2021-07-21,2663
2021-07-20,3039
2021-07-19,3583
2021-07-18,2521
2021-07-17,2454
2021-07-16,3284
2021-07-15,3456
2021-07-14,3329
2021-07-13,3250
2021-07-12,3492
2021-07-11,2306
2021-07-10,2197
2021-07-09,2408
2021-07-08,2397
2021-07-07,2638
2021-07-06,2683
2021-07-05,2879
2021-07-04,1947
2021-07-03,1761
2021-07-02,2052
2021-07-01,2090
2021-06-30,2209
2021-06-29,2151
2021-06-28,2375
2021-06-27,1401
2021-06-26,1211
2021-06-25,1349
2021-06-24,1310
2021-06-23,1289
2021-06-22,1120
2021-06-21,1183
2021-06-20,705
2021-06-19,542
2021-06-18,683
2021-06-17,732
2021-06-16,678
2021-06-15,718
2021-06-14,682
2021-06-13,483
2021-06-12,347
2021-06-11,416
2021-06-10,386
2021-06-09,393
2021-06-08,431
2021-06-07,481
2021-06-06,322
2021-06-05,273
2021-06-04,274
2021-06-03,303
2021-06-02,293
2021-06-01,301
2021-05-31,248
2021-05-30,231
2021-05-29,243
2021-05-28,274
2021-05-27,300
2021-05-26,310
2021-05-25,300
2021-05-24,335
2021-05-23,176
2021-05-22,165
2021-05-21,215
2021-05-20,185
2021-05-19,257
2021-05-18,285
2021-05-17,284
2021-05-16,147
2021-05-15,122
2021-05-14,166
2021-05-13,142
2021-05-12,179
2021-05-11,157
2021-05-10,242
2021-05-09,190
2021-05-08,129
2021-05-07,139
2021-05-06,157
2021-05-05,211
2021-05-04,205
2021-05-03,158
2021-05-02,117
2021-05-01,113
2021-04-30,130
2021-04-29,156
2021-04-28,175
2021-04-27,152
2021-04-26,175
2021-04-25,145
2021-04-24,112
2021-04-23,128
2021-04-22,148
2021-04-21,168
2021-04-20,145
2021-04-19,142
2021-04-18,164
2021-04-17,86
2021-04-16,122
2021-04-15,134
2021-04-14,124
2021-04-13,142
2021-04-12,151
2021-04-11,141
2021-04-10,139
2021-04-09,145
2021-04-08,162
2021-04-07,184
2021-04-06,157
2021-04-05,184
2021-04-04,167
2021-04-03,169
2021-04-02,197
2021-04-01,255
2021-03-31,282
2021-03-30,287
2021-03-29,319
2021-03-28,436
2021-03-27,344
2021-03-26,398
2021-03-25,533
2021-03-24,574
2021-03-23,502
2021-03-22,615
2021-03-21,535
2021-03-20,412
2021-03-19,487
2021-03-18,514
2021-03-17,581
2021-03-16,535
2021-03-15,579
2021-03-14,340
2021-03-13,309
2021-03-12,403
2021-03-11,390
2021-03-10,384
2021-03-09,370
2021-03-08,362
2021-03-07,243
2021-03-06,259
2021-03-05,312
2021-03-04,298
2021-03-03,302
2021-03-02,340
2021-03-01,319
2021-02-28,210
2021-02-27,213
2021-02-26,340
2021-02-25,355
2021-02-24,379
2021-02-23,446
2021-02-22,531
2021-02-21,356
2021-02-20,385
2021-02-19,499
2021-02-18,448
2021-02-17,480
2021-02-16,544
2021-02-15,579
2021-02-14,431
2021-02-13,434
2021-02-12,572
2021-02-11,624
2021-02-10,605
2021-02-09,642
2021-02-08,733
2021-02-07,545
2021-02-06,556
2021-02-05,769
2021-02-04,913
2021-02-03,920
2021-02-02,977
2021-02-01,970
2021-01-31,708
2021-01-30,820
2021-01-29,1074
2021-01-28,1066
2021-01-27,1158
2021-01-26,1195
2021-01-25,1325
2021-01-24,805
2021-01-23,1026
2021-01-22,1356
2021-01-21,1376
2021-01-20,1492
2021-01-19,1645
2021-01-18,1854
2021-01-17,1203
2021-01-16,1320
2021-01-15,1710
2021-01-14,1649
2021-01-13,1687
2021-01-12,1770
2021-01-11,1963
2021-01-10,1302
2021-01-09,1419
2021-01-08,1616
2021-01-07,1782
2021-01-06,1966
2021-01-05,2113
2021-01-04,2829
2021-01-03,2146
2021-01-02,2317
2021-01-01,1249
2020-12-31,2032
2020-12-30,2732
2020-12-29,2984
2020-12-28,1649
2020-12-27,1926
2020-12-26,1768
2020-12-25,503
2020-12-24,1509
2020-12-23,1986
2020-12-22,2185
2020-12-21,2203
2020-12-20,1621
2020-12-19,1240
2020-12-18,1803
2020-12-17,1585
2020-12-16,1744
2020-12-15,1777
2020-12-14,1972
2020-12-13,1238
2020-12-12,1073
2020-12-11,1351
2020-12-10,1246
2020-12-09,1144
2020-12-08,1126
2020-12-07,1184
2020-12-06,706
2020-12-05,666
2020-12-04,925
2020-12-03,891
2020-12-02,923
2020-12-01,901
2020-11-30,1002
2020-11-29,589
2020-11-28,579
2020-11-27,834
2020-11-26,819
2020-11-25,936
2020-11-24,858
2020-11-23,1014
2020-11-22,630
2020-11-21,611
2020-11-20,921
2020-11-19,975
2020-11-18,1100
2020-11-17,1130
2020-11-16,1311
2020-11-15,735
2020-11-14,768
2020-11-13,1092
2020-11-12,1054
2020-11-11,1091
2020-11-10,1081
2020-11-09,1148
2020-11-08,719
2020-11-07,638
2020-11-06,835
2020-11-05,839
2020-11-04,792
2020-11-03,871
2020-11-02,1014
2020-11-01,505
2020-10-31,529
2020-10-30,743
2020-10-29,737
2020-10-28,756
2020-10-27,683
2020-10-26,802
2020-10-25,484
2020-10-24,501
2020-10-23,655
2020-10-22,744
2020-10-21,809
2020-10-20,852
2020-10-19,785
2020-10-18,435
2020-10-17,451
2020-10-16,548
2020-10-15,600
2020-10-14,580
2020-10-13,527
2020-10-12,552
2020-10-11,324
2020-10-10,334
2020-10-09,439
2020-10-08,493
2020-10-07,432
2020-10-06,423
2020-10-05,422
2020-10-04,242
2020-10-03,269
2020-10-02,329
2020-10-01,307
2020-09-30,277
2020-09-29,231
2020-09-28,258
2020-09-27,191
2020-09-26,188
2020-09-25,228
2020-09-24,199
2020-09-23,225
2020-09-22,192
2020-09-21,208
2020-09-20,238
2020-09-19,214
2020-09-18,211
2020-09-17,188
2020-09-16,161
2020-09-15,163
2020-09-14,133
2020-09-13,140
2020-09-12,137
2020-09-11,179
2020-09-10,190
2020-09-09,154
2020-09-08,156
2020-09-07,187
2020-09-06,114
2020-09-05,104
2020-09-04,107
2020-09-03,99
2020-09-02,84
2020-09-01,61
2020-08-31,63
2020-08-30,50
2020-08-29,54
2020-08-28,58
2020-08-27,53
2020-08-26,39
2020-08-25,32
2020-08-24,60
2020-08-23,40
2020-08-22,35
2020-08-21,38
2020-08-20,53
2020-08-19,29
2020-08-18,40
2020-08-17,53
2020-08-16,27
2020-08-15,29
2020-08-14,43
2020-08-13,34
2020-08-12,55
2020-08-11,60
2020-08-10,68
2020-08-09,32
2020-08-08,40
2020-08-07,48
2020-08-06,44
2020-08-05,34
2020-08-04,39
2020-08-03,44
2020-08-02,31
2020-08-01,29
2020-07-31,27
2020-07-30,35
2020-07-29,47
2020-07-28,42
2020-07-27,40
2020-07-26,24
2020-07-25,28
2020-07-24,36
2020-07-23,28
2020-07-22,40
2020-07-21,25
2020-07-20,28
2020-07-19,29
2020-07-18,22
2020-07-17,33
2020-07-16,32
2020-07-15,34
2020-07-14,39
2020-07-13,38
2020-07-12,23
2020-07-11,23
2020-07-10,24
2020-07-09,30
2020-07-08,22
2020-07-07,32
2020-07-06,31
2020-07-05,19
2020-07-04,16
2020-07-03,25
2020-07-02,23
2020-07-01,28
2020-06-30,29
2020-06-29,23
2020-06-28,14
2020-06-27,27
2020-06-26,28
2020-06-25,27
2020-06-24,25
2020-06-23,23
2020-06-22,38
2020-06-21,15
2020-06-20,20
2020-06-19,25
2020-06-18,29
2020-06-17,22
2020-06-16,34
2020-06-15,28
2020-06-14,25
2020-06-13,25
2020-06-12,33
2020-06-11,19
2020-06-10,34
2020-06-09,26
2020-06-08,28
2020-06-07,23
2020-06-06,22
2020-06-05,22
2020-06-04,26
2020-06-03,23
2020-06-02,28
2020-06-01,21
2020-05-31,23
2020-05-30,22
2020-05-29,18
2020-05-28,37
2020-05-27,20
2020-05-26,28
2020-05-25,23
2020-05-24,28
2020-05-23,25
2020-05-22,32
2020-05-21,43
2020-05-20,36
2020-05-19,45
2020-05-18,27
2020-05-17,23
2020-05-16,37
2020-05-15,24
2020-05-14,37
2020-05-13,38
2020-05-12,33
2020-05-11,31
2020-05-10,27
2020-05-09,19
2020-05-08,27
2020-05-07,33
2020-05-06,36
2020-05-05,32
2020-05-04,22
2020-05-03,14
2020-05-02,13
2020-05-01,19
2020-04-30,21
2020-04-29,16
2020-04-28,22
2020-04-27,19
2020-04-26,11
2020-04-25,13
2020-04-24,25
2020-04-23,27
2020-04-22,16
2020-04-21,15
2020-04-20,18
2020-04-19,13
2020-04-18,17
2020-04-17,22
2020-04-16,20
2020-04-15,23
2020-04-14,21
2020-04-13,15
2020-04-12,16
2020-04-11,29
2020-04-10,22
2020-04-09,22
2020-04-08,16
2020-04-07,25
2020-04-06,23
2020-04-05,17
2020-04-04,16
2020-04-03,23
2020-04-02,22
2020-04-01,19
2020-03-31,23
2020-03-30,22
2020-03-29,12
2020-03-28,18
2020-03-27,16
2020-03-26,13
2020-03-25,18
2020-03-24,17
2020-03-23,17
2020-03-22,9
2020-03-21,8
2020-03-20,8
2020-03-19,6
2020-03-18,5
2020-03-17,5
2020-03-16,2
2020-03-15,3
2020-03-14,4
2020-03-13,3
2020-03-12,5
2020-03-11,4
2020-03-10,3
2020-03-09,2
2020-03-08,0
2020-03-07,0
2020-03-06,2
2020-03-05,0
2020-03-04,0
2020-03-03,2
2020-03-02,0
2020-03-01,0
2020-02-29,0
2020-02-28,0
2020-02-27,0
2020-02-26,0
2020-02-25,0
2020-02-24,0
2020-02-23,0
2020-02-22,0
2020-02-21,0
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,0
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,0
2020-02-10,0
2020-02-09,0
2020-02-08,0
2020-02-07,0
2020-02-06,0
2020-02-05,0
2020-02-04,0
2020-02-03,0
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,0
